PLAYER,RANK
Scottie Scheffler,1
Rory McIlroy,2
Jon Rahm,3
Jordan Spieth,4
Cameron Smith,5
Xander Schauffele,6
Patrick Cantlay,7
Justin Thomas,8
Collin Morikawa,9
Tony Finau,10
Jason Day,11
Dustin Johnson,12
Max Homa,13
Will Zalatoris,14
Cameron Young,15
Viktor Hovland,16
Sungjae Im,17
Tyrrell Hatton,18
Sam Burns,19
Matt Fitzpatrick,20
Hideki Matsuyama,21
Shane Lowry,22
Joaquin Niemann,23
Tom Kim,24
Justin Rose,25
Brooks Koepka,26
Bryson DeChambeau,27
Tiger Woods,28
Tommy Fleetwood,29
Adam Scott,30
Patrick Reed,31
Louis Oosthuizen,32
Min Woo Lee,33
Keegan Bradley,34
Abraham Ancer,35
Si Woo Kim,36
Corey Conners,37
Harris English,38
Talor Gooch,39
Sergio Garcia,40
Sahith Theegala,41
Taylor Moore,42
Tom Hoge,43
Seamus Power,44
Russell Henley,45
Thomas Pieters,46
Aaron Wise,47
Kurt Kitayama,48
Brian Harman,49
Chris Kirk,50
Ryan Fox,51
Alexander Noren,52
Keith Mitchell,53
Harold Varner,54
Jason Kokrak,55
Danny Willett,56
Kevin Na,57
Gary Woodland,58
Cameron Champ,59
Bubba Watson,60
Charl Schwartzel,61
Kyoung-Hoon Lee,62
Sepp Straka,63
Kevin Kisner,64
J.T. Poston,65
Mackenzie Hughes,66
Adam Svensson,67
Scott Stallings,68
Francesco Molinari,69
Phil Mickelson,70
Billy Horschel,71
Mito Pereira,72
Adrian Meronk,73
Kazuki Higa,74
Sam Bennett,75
Ben Carr,76
Zach Johnson,77
Aldrich Potgieter,78
Harrison Crowe,79
Matthew McClean,80
Bernhard Langer,81
Fred Couples,82
Gordon Sargent,83
Jose Maria Olazabal,84
Larry Mize,85
Mateo Fernandez de Oliveira,86
Mike Weir,87
Sandy Lyle,88
Vijay Singh,89
